,Goodreads_ID,ISBN,Title,Author,Imprint,Publisher_Group,Volume,Value,RRP,ASP,Binding,Publ_Date,Product_Class,book_series,num_pages,num_goodreads_ratings,average_goodreads_ratings,num_goodreads_reviews
68,88061.Dreams_from_My_Father,9.78185E+12,Dreams from My Father:A Story of Race and Inheritance,"Obama, Barack",Canongate Books,Canongate Grp,"690,765","$6,130,647.41 ",$12.05 ,$8.87 ,Paperback,6/5/08,"T4.2A  Autobiography: Historical, Political & Military",nan,453,214230,3.91,8264
63,1225261.No_Time_for_Goodbye,9.78075E+12,No Time for Goodbye,"Barclay, Linwood",Orion (an Imprint of The Orion,Orion Grp,"722,103","$5,137,259.34 ",$10.71 ,$7.12 ,Paperback,6/12/08,"F2.1  Crime, Thriller & Adventure",No Time For Goodbye,338,36378,4,2734
14,428263.Eclipse,9.7819E+12,Eclipse,"Meyer, Stephenie",ATOM,"Little, Brown Book Grp","1,846,171","$12,035,483.55 ",$10.71 ,$6.51 ,Paperback,7/3/08,Y2.2  Young Adult Fiction,The Twilight Saga,629,1593426,3.71,40305
15,31111270-the-girl-with-the-dragon-tattoo,9.78185E+12,"Girl with the Dragon Tattoo,The:Millennium Trilogy","Larsson, Stieg",Quercus,Quercus Grp,"1,697,425","$12,335,441.76 ",$10.71 ,$7.38 ,Paperback,7/24/08,"F2.1  Crime, Thriller & Adventure",Millennium,,2871002,4.15,71865
22,1162543.Breaking_Dawn,9.78191E+12,Breaking Dawn,"Meyer, Stephenie",ATOM,"Little, Brown Book Grp","1,315,685","$16,125,729.40 ",$20.09 ,$12.26 ,Hardback,8/4/08,Y2.2  Young Adult Fiction,The Twilight Saga,756,1487332,3.71,49409
62,4876759-at-my-mother-s-knee,9.78059E+12,At My Mother's Knee ...:and Other Low Joints,"O'Grady, Paul",Bantam Press,Transworld Grp,"723,164","$9,534,969.54 ",$25.45 ,$13.19 ,Hardback,9/24/08,T4.1A  Autobiography:  The Arts,Paul O'Grady Autobiography,352,2822,4.16,177
58,25099654-jamie-s-ministry-of-food,9.78072E+12,Jamie's Ministry of Food:Anyone Can Learn to Cook in 24 Hours,"Oliver, Jamie",Michael Joseph,Penguin Grp,"759,900","$12,867,313.02 ",$33.50 ,$16.94 ,Hardback,10/3/08,T16.0  Food & Drink: General,nan,360,8156,4.14,252
86,4391492-dear-fatty,9.78185E+12,Dear Fatty,"French, Dawn",Century,Random House Grp,"643,636","$8,482,967.66 ",$25.45 ,$13.19 ,Hardback,10/9/08,T4.1A  Autobiography:  The Arts,nan,368,9728,3.79,743
32,3950967-the-tales-of-beedle-the-bard,9.78075E+12,"Tales of Beedle the Bard,The","Rowling, J. K.",Bloomsbury Publishing PLC,Bloomsbury Grp,"1,039,823","$5,608,290.06 ",$9.37 ,$5.40 ,Hardback,12/4/08,Y2.1  Children's Fiction,Hogwarts Library,109,451436,4.05,16935
34,1013383.The_Gruffalo,9.78033E+12,"Gruffalo,The","Donaldson, Julia",Macmillan Children's Books,Pan Macmillan Grp,"1,007,208","$6,392,278.13 ",$8.03 ,$5.88 ,Paperback,3/6/09,Y1.3  Picture Books,My First Gruffalo,32,38528,4.43,2014
20,6411961-the-lost-symbol,9.78059E+12,"Lost Symbol,The","Brown, Dan",Bantam Press,Transworld Grp,"1,370,347","$17,490,143.55 ",$25.45 ,$12.76 ,Hardback,9/15/09,"F2.1  Crime, Thriller & Adventure",Robert Langdon,509,564584,3.73,28353
11,12232938-the-lovely-bones,9.78033E+12,"Lovely Bones,The","Sebold, Alice",Picador,Pan Macmillan Grp,"1,942,042","$15,492,010.29 ",$10.71 ,$7.02 ,Paperback,12/4/09,F1.1  General & Literary Fiction,nan,372,2167429,3.83,42599
38,21489700-stieg-larsson-s-millennium-trilogy-series-set,9.78185E+12,"Girl Who Kicked the Hornets' Nest,The:Millennium Trilogy","Larsson, Stieg",Quercus Publishing Plc,Quercus Grp,"942,103","$6,487,610.20 ",$10.71 ,$6.89 ,Paperback,4/1/10,"F2.1  Crime, Thriller & Adventure",nan,1878,53027,4.44,1845
23,28438235-the-girl-who-played-with-fire,9.78185E+12,"Girl Who Played With Fire,The:Millennium Trilogy","Larsson, Stieg",Quercus Publishing Plc,Quercus Grp,"1,265,474","$8,986,863.78 ",$10.71 ,$6.94 ,Paperback,7/29/10,"F2.1  Crime, Thriller & Adventure",Millennium,576,861918,4.24,35323
45,9047584-jamie-s-30-minute-meals,9.78072E+12,Jamie's 30-minute Meals,"Oliver, Jamie",Michael Joseph,Penguin Grp,"874,546","$15,139,000.17 ",$34.84 ,$17.31 ,Hardback,9/30/10,T16.0  Food & Drink: General,nan,287,6346,4.03,158
